mode,n_comments,n_nodes,n_edges,n_canopies,n_clusters,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,modularity,conductance_mean,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
pipeline,150,149,943,146,75,0.5508618999738246,0.013045200030319393,0.017058300029020756,0.06546969996998087,0.6464351000031456,0.1569923467279116,0.7805060360421197,12.657718120805368,0.08552512243787412,5.0,1.0,2.0,0.013333333333333334,0.013422818791946308,0.05497766571146675,0.006520087824770275,0.06297254790277532,0.00023391812865497074,,0.0,0.0,0.4347924854837359,0.4347924854837359
canopy_only,150,149,0,146,146,0.6852007999550551,0.0,0.0,0.0,0.6852007999550551,,,,,,,,,,,,,,,,,,
canopy_only,150,149,0,146,146,0.47204170003533363,0.0,0.0,0.0,0.47204170003533363,,,,,,,,,,,,,,,,,,
kruskal_only,150,149,941,146,76,0.5163938999758102,0.014040799986105412,0.019233600003644824,0.06165390001842752,0.611322199983988,0.15366646903659892,0.7864871420526671,12.630872483221477,0.08534373299473971,5.0,1.0,2.0,0.013157894736842105,0.013422818791946308,0.057811113062329604,0.007199017813664493,0.06214396174615985,0.00023084025854108956,,0.0,,0.43767363794472025,0.43767363794472025
kruskal_only,150,149,941,146,76,0.4690864000003785,0.012610600038897246,0.03158599999733269,0.059819000016432256,0.5731020000530407,0.15366646903659892,0.7864871420526671,12.630872483221477,0.08534373299473971,5.0,1.0,2.0,0.013157894736842105,0.013422818791946308,0.057811113062329604,0.007199017813664493,0.06214396174615985,0.00023084025854108956,,0.0,,0.43767363794472025,0.43767363794472025
pipeline,200,199,1258,192,101,1.5026788999675773,0.018252800044137985,0.024324099998921156,0.07988299999851733,1.6251388000091538,0.32429852265249715,0.7081794285436595,12.64321608040201,0.06385462666869703,7.0,1.0,2.0,0.009900990099009901,0.010050251256281407,0.05044431393333454,0.006534764079299201,0.05278274948696401,0.00029120559114735004,,0.0,0.0,0.45417591123438816,0.45417591123438816
pipeline,200,199,1258,192,101,1.0976388999843039,0.016120199987199157,0.02143570000771433,0.09404319996247068,1.229237999941688,0.32429852265249715,0.7081794285436595,12.64321608040201,0.06385462666869703,7.0,1.0,2.0,0.009900990099009901,0.010050251256281407,0.05044431393333454,0.006534764079299201,0.05278274948696401,0.00029120559114735004,,0.0,0.0,0.45417591123438816,0.45417591123438816
canopy_only,200,199,0,192,192,0.4384676000336185,0.0,0.0,0.0,0.4384676000336185,,,,,,,,,,,,,,,,,,
canopy_only,200,199,0,192,192,0.21268400002736598,0.0,0.0,0.0,0.21268400002736598,,,,,,,,,,,,,,,,,,
kruskal_only,200,199,1258,192,103,0.20664609997766092,0.0101773000205867,0.012657099985517561,0.04071109998039901,0.2701915999641642,0.3111634110513076,0.7252470912347296,12.64321608040201,0.06385462666869703,7.0,1.0,2.0,0.009708737864077669,0.010050251256281407,0.05770374205164195,0.00735751976067716,0.06454294745841273,0.0005393743257820927,,0.0,,0.45711708770497644,0.45711708770497644
