mode,requested_comments,n_comments,n_nodes,n_edges,n_canopies,n_clusters,fetch_sec,parse_sec,feature_prep_sec,preprocess_tfidf_sec,tfidf_sec,reduce_sec,ann_index_sec,ann_query_sec,ann_prefilter_sec,canopy_bruteforce_sec,canopy_assign_sec,canopy_cluster_sec,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,total_with_fetch_sec,modularity,conductance_mean,silhouette_score,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score
kruskal_only,200,200,197,1910,57,99,24.75683349999599,0.002979799988679588,0.03826729999855161,0.041247099987231195,0.03764360002242029,0.00062369997613132,0.012051800033077598,0.009131299855653197,0.021183099888730794,0.00023089995374903083,0.0003366998862475157,0.0005675998399965465,0.061291900055948645,0.09497490001376718,0.031188400054816157,0.09042100002989173,0.2808560001431033,25.037689500139095,0.19493385041465144,0.6650761123225692,,19.390862944162436,0.09893297420491039,1.0,2.0,12.0,0.020202020202020204,0.06091370558375635,0.042764359963236194,0.02573142685595611,0.031551714559496874,0.0,,0.0,,0.6845621049753142,0.7056182980709145
kruskal_only,200,200,197,1910,57,99,24.75683349999599,0.0032030000002123415,0.03636789997108281,0.03957089997129515,0.0357050999882631,0.0006627999828197062,0.015525900002103299,0.01187560020480305,0.02740150020690635,0.0006546999793499708,0.00042919995030388236,0.0010838999296538532,0.06621590000577271,0.10870579996844754,0.044226599973626435,0.07946100004483014,0.30181229999288917,25.05864579998888,0.19493385041465144,0.6650761123225692,,19.390862944162436,0.09893297420491039,1.0,2.0,12.0,0.020202020202020204,0.06091370558375635,0.042764359963236194,0.02573142685595611,0.031551714559496874,0.0,,0.0,,0.6845621049753142,0.7056182980709145
pipeline,500,500,480,5414,115,240,31.778691700019408,0.0117030999972485,0.06286840001121163,0.07457150000846013,0.06165950000286102,0.0012089000083506107,0.034696899994742125,0.05374430021038279,0.08844120020512491,0.001189500035252422,0.0011548998299986124,0.0023443998652510345,0.15585800004191697,0.23566350003238767,0.09475310001289472,0.2761964999954216,0.7741742000798695,32.55286590009928,0.48937704306787894,0.6145030661741312,,22.558333333333334,0.0470946416144746,1.0,4.0,32.0,0.016666666666666666,0.06666666666666667,0.05021117479118686,0.03658475628007713,0.03501608216048392,0.0001913265306122449,,0.0,0.8164487536964601,0.6185968260997835,0.663209527800959
pipeline,500,500,480,5414,115,240,31.778691700019408,0.00875029998132959,0.057267700030934066,0.06601800001226366,0.05633160000434145,0.0009361000265926123,0.04124059999594465,0.047425900178495795,0.08866650017444044,0.001216700009535998,0.0010108999558724463,0.0022275999654084444,0.14964970003347844,0.2615069000166841,0.09638199995970353,0.36869020003359765,0.8849791000247933,32.6636708000442,0.48937704306787894,0.6145030661741312,,22.558333333333334,0.0470946416144746,1.0,4.0,32.0,0.016666666666666666,0.06666666666666667,0.05021117479118686,0.03658475628007713,0.03501608216048392,0.0001913265306122449,,0.0,0.8164487536964601,0.6185968260997835,0.663209527800959
canopy_only,500,500,480,0,115,115,31.778691700019408,0.008724900020752102,0.07427989999996498,0.08300480002071708,0.07291530002839863,0.0013645999715663493,0.030213700025342405,0.051991099782753736,0.08220479980809614,0.0018216000171378255,0.003872400033287704,0.0056940000504255295,0.16389850003179163,0.0,0.0,0.0,0.17262340005254373,31.95131510007195,,,,,,,,,,,,,,,,,,,
canopy_only,500,500,480,0,115,115,31.778691700019408,0.008592199999839067,0.0636977999820374,0.07228999998187646,0.06267799995839596,0.0010198000236414373,0.04388420004397631,0.05544999975245446,0.09933419979643077,0.0013553999597206712,0.0013408002560026944,0.0026962002157233655,0.16751699999440461,0.0,0.0,0.0,0.17610919999424368,31.95480090001365,,,,,,,,,,,,,,,,,,,
kruskal_only,500,500,480,5486,115,240,31.778691700019408,0.009907900006510317,0.07629480003379285,0.08620270004030317,0.07492820004699752,0.001366599986795336,0.04141220002202317,0.047744199458975345,0.08915639948099852,0.0017383000813424587,0.001102400477975607,0.0028407005593180656,0.17005049996078014,0.30302249995293096,0.13678350002737716,0.33239539997885004,0.9521597999264486,32.73085149994586,0.48984080351926584,0.7102482856747229,,22.858333333333334,0.047720946416144744,1.0,3.0,6.0,0.0125,0.0125,0.052837324084990485,0.03256758626301112,0.040003404270329765,0.0001913265306122449,,0.0,,0.5639967158955077,0.5769593583897183
kruskal_only,500,500,480,5486,115,240,31.778691700019408,0.007648899976629764,0.05674660002114251,0.06439549999777228,0.05590069998288527,0.0008459000382572412,0.04137950000585988,0.03994670003885403,0.08132620004471391,0.001055200002156198,0.0006972999544814229,0.001752499956637621,0.1412024000310339,0.2436825999757275,0.08964219997869805,0.28510879998793826,0.7672848999500275,32.545976599969435,0.48984080351926584,0.7102482856747229,,22.858333333333334,0.047720946416144744,1.0,3.0,6.0,0.0125,0.0125,0.052837324084990485,0.03256758626301112,0.040003404270329765,0.0001913265306122449,,0.0,,0.5639967158955077,0.5769593583897183
pipeline,1000,1000,954,11351,253,477,36.64015120000113,0.01996589999180287,1.6498338999808766,1.6697997999726795,0.08893299999181181,1.5609008999890648,0.12197229999583215,0.004324100038502365,0.1262964000343345,0.06740699929650873,0.002003499655984342,0.06941049895249307,1.847910700016655,0.728423600026872,0.2039426999981515,0.8314189999946393,3.6316619000281207,40.27181310002925,0.3375169515520189,0.661845331186123,,23.79664570230608,0.024970247326659055,1.0,4.0,10.0,0.008385744234800839,0.010482180293501049,0.02524491314481007,0.01832912423092774,0.02065750225396278,0.00015252993825334363,,0.0,0.8509228048260714,0.6599375034681715,0.7540971387471226
pipeline,1000,1000,954,11351,253,477,36.64015120000113,0.022914099972695112,1.342010999971535,1.3649250999442302,0.11558280000463128,1.2264281999669038,0.04714290000265464,0.06213760003447533,0.10928050003712997,0.0034949000109918416,0.0008940999978221953,0.004389000008814037,1.4565032999962568,0.15182129997992888,0.06716919998871163,0.13092379999579862,1.829331699933391,38.46948289993452,0.3375169515520189,0.661845331186123,,23.79664570230608,0.024970247326659055,1.0,4.0,10.0,0.008385744234800839,0.010482180293501049,0.02524491314481007,0.01832912423092774,0.02065750225396278,0.00015252993825334363,,0.0,0.8509228048260714,0.6599375034681715,0.7540971387471226
