mode,requested_comments,n_comments,n_nodes,n_edges,n_canopies,n_clusters,fetch_sec,parse_sec,feature_prep_sec,preprocess_tfidf_sec,tfidf_sec,reduce_sec,ann_index_sec,ann_query_sec,ann_prefilter_sec,canopy_bruteforce_sec,canopy_assign_sec,canopy_cluster_sec,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,total_with_fetch_sec,modularity,conductance_mean,silhouette_score,silhouette_samples,silhouette_clusters,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score,quality_interpretation
kruskal_only,200,200,193,1899,33,97,21.288687299995217,0.004472099943086505,0.028457499982323498,0.03292959992541,0.028026299958582968,0.00043120002374053,0.015963800018653274,0.0036222999915480614,0.019586100010201335,0.00011200003791600466,0.0001520998775959015,0.00026409991551190615,0.049495399987790734,0.08972719998564571,0.03444479999598116,0.06870320002781227,0.24684269994031638,21.535529999935534,0.046720861477760146,0.4974448054458226,0.11874819640396904,94.0,3.0,19.678756476683937,0.10249352331606218,1.0,0.0,0.0,0.0,0.0,0.0022456793485369207,0.0009546601202748365,1.3942182613683518e-06,0.0,,0.0,,0.0,0.0,Terbentuk sekitar 97 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster sedang.
kruskal_only,200,200,193,1899,33,97,21.288687299995217,0.004295899998396635,0.053613899974152446,0.05790979997254908,0.05298929999116808,0.000624599982984364,0.018773999996483326,0.0035585000878199935,0.02233250008430332,0.00011780002387240529,0.0001529997680336237,0.000270799791906029,0.07731369999237359,0.09526749997166917,0.029779800039250404,0.06916740001179278,0.27582430001348257,21.5645116000087,0.046720861477760146,0.4974448054458226,0.11874819640396904,94.0,3.0,19.678756476683937,0.10249352331606218,1.0,0.0,0.0,0.0,0.0,0.0022456793485369207,0.0009546601202748365,1.3942182613683518e-06,0.0,,0.0,,0.0,0.0,Terbentuk sekitar 97 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster sedang.
pipeline,500,500,480,5414,115,240,31.95766040001763,0.008612799982074648,0.06199040001956746,0.07060320000164211,0.060541899991221726,0.0014485000283457339,0.035344299976713955,0.04397629981394857,0.07932059979066253,0.0009549999958835542,0.0010190996690653265,0.0019740996649488807,0.14481979998527095,0.45002430002205074,0.09230610000668094,0.26337879995116964,0.9591417999472469,32.91680219996488,0.4874694255621774,0.6132864981187066,0.5305149236885809,300.0,60.0,22.558333333333334,0.0470946416144746,1.0,4.0,32.0,0.016666666666666666,0.06666666666666667,0.05018934115817627,0.03658398862963779,0.03501608216048392,0.0001913265306122449,,0.0,0.8169678072609549,0.6192448040941397,0.6635976817568946,Terbentuk sekitar 240 cluster; struktur komunitas kuat; pemisahan cluster sangat baik; isolasi cluster lemah.
pipeline,500,500,480,5414,115,240,31.95766040001763,0.009616299998015165,0.06189269997412339,0.07150899997213855,0.059930099989287555,0.0019625999848358333,0.04737029998796061,0.04232430021511391,0.08969460020307451,0.0010683999862521887,0.0008150000358000398,0.0018834000220522285,0.15485930000431836,0.25036140001611784,0.09297060000244528,0.2979744999902323,0.8057821000111289,32.76344250002876,0.4874694255621774,0.6132864981187066,0.5305149236885809,300.0,60.0,22.558333333333334,0.0470946416144746,1.0,4.0,32.0,0.016666666666666666,0.06666666666666667,0.05018934115817627,0.03658398862963779,0.03501608216048392,0.0001913265306122449,,0.0,0.8169678072609549,0.6192448040941397,0.6635976817568946,Terbentuk sekitar 240 cluster; struktur komunitas kuat; pemisahan cluster sangat baik; isolasi cluster lemah.
canopy_only,500,500,480,0,115,115,31.95766040001763,0.012905999959912151,0.1265150000108406,0.13942099997075275,0.12525390001246706,0.0012610999983735383,0.03790569998091087,0.06505400035530329,0.10295970033621415,0.0014399000210687518,0.0017212998936884105,0.0031611999147571623,0.2344364000018686,0.0,0.0,0.0,0.24734239996178076,32.20500279997941,,,0.6134748551167776,279.0,115.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 115 cluster; pemisahan cluster sangat baik.
canopy_only,500,500,480,0,115,115,31.95766040001763,0.01019629999063909,0.055787700053770095,0.06598400004440919,0.05447910004295409,0.0013086000108160079,0.037323599972296506,0.04689000023063272,0.08421360020292923,0.001124100002925843,0.0011897999793291092,0.002313899982254952,0.14393510000081733,0.0,0.0,0.0,0.15413139999145642,32.11179180000909,,,0.6134748551167776,279.0,115.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 115 cluster; pemisahan cluster sangat baik.
kruskal_only,500,500,480,5486,115,240,31.95766040001763,0.008351700031198561,0.058359900023788214,0.06671160005498677,0.05705679999664426,0.0013031000271439552,0.04250909999245778,0.04677550063934177,0.08928460063179955,0.0010368000366725028,0.0017448997241444886,0.0027816997608169913,0.15211369999451563,0.27175329998135567,0.12007850001100451,0.37796349998097867,0.930260699999053,32.88792110001668,0.4882324259319415,0.7102957237350187,0.46658226817589055,300.0,60.0,22.858333333333334,0.047720946416144744,1.0,3.0,6.0,0.0125,0.0125,0.05281142732997462,0.03256758626301112,0.040003404270329765,0.0001913265306122449,,0.0,,0.5639967158955077,0.5769593583897183,Terbentuk sekitar 240 cluster; struktur komunitas kuat; pemisahan cluster cukup jelas; isolasi cluster lemah.
kruskal_only,500,500,480,5486,115,240,31.95766040001763,0.010656300000846386,0.06523460004245862,0.07589090004330501,0.06421929999487475,0.001015300047583878,0.04107469995506108,0.05998859985265881,0.10106329980771989,0.0013154000625945628,0.0014655996346846223,0.002780999697279185,0.17107310000574216,0.3020443000132218,0.1279841000214219,0.32583540002815425,0.9375932000693865,32.89525360008702,0.4882324259319415,0.7102957237350187,0.46658226817589055,300.0,60.0,22.858333333333334,0.047720946416144744,1.0,3.0,6.0,0.0125,0.0125,0.05281142732997462,0.03256758626301112,0.040003404270329765,0.0001913265306122449,,0.0,,0.5639967158955077,0.5769593583897183,Terbentuk sekitar 240 cluster; struktur komunitas kuat; pemisahan cluster cukup jelas; isolasi cluster lemah.
pipeline,1000,1000,937,11072,252,469,37.54041660000803,0.014092799974605441,1.2313712000031956,1.245463999977801,0.10559379996266216,1.1257774000405334,0.11039660003734753,0.19353500031866133,0.30393160035600886,0.009099699964281172,0.002672799746505916,0.011772499710787088,1.549641599995084,0.47632219997467473,0.3512353000114672,0.47638439998263493,2.8676762999384664,40.408092899946496,0.3039133684230965,0.6744452958176416,0.431279510877831,605.0,137.0,23.632870864461047,0.02524879365861223,1.0,4.0,10.0,0.008528784648187633,0.010672358591248666,0.02467529745939916,0.018217268387534725,0.020119137254003397,0.0010938656662126598,,0.0,0.8478848035835039,0.6599448817946525,0.7540971387471227,Terbentuk sekitar 469 cluster; struktur komunitas kuat; pemisahan cluster cukup jelas; isolasi cluster lemah.
pipeline,1000,1000,937,11072,252,469,37.54041660000803,0.023092599993105978,1.1771313000353985,1.2002239000285044,0.11184090003371239,1.065290400001686,0.09891269996296614,0.19430110038956627,0.2932138003525324,0.009375799971166998,0.00242089998209849,0.011796699953265488,1.4844450000091456,0.47169699997175485,0.19278809998650104,0.4326347000314854,2.604657399991993,40.14507400000002,0.3039133684230965,0.6744452958176416,0.431279510877831,605.0,137.0,23.632870864461047,0.02524879365861223,1.0,4.0,10.0,0.008528784648187633,0.010672358591248666,0.02467529745939916,0.018217268387534725,0.020119137254003397,0.0010938656662126598,,0.0,0.8478848035835039,0.6599448817946525,0.7540971387471227,Terbentuk sekitar 469 cluster; struktur komunitas kuat; pemisahan cluster cukup jelas; isolasi cluster lemah.
canopy_only,1000,1000,937,0,252,252,37.54041660000803,0.025497300026472658,2.28255750000244,2.3080548000289127,0.09854289999930188,2.184014600003138,0.11418580001918599,0.20885100011946633,0.3230368001386523,0.00966620008694008,0.0027613003039732575,0.012427500390913337,2.620904800016433,0.0,0.0,0.0,2.6464021000429057,40.186818700050935,,,0.5832592803383149,574.0,252.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 252 cluster; pemisahan cluster sangat baik.
canopy_only,1000,1000,937,0,252,252,37.54041660000803,0.022203800035640597,1.3735579999629408,1.3957617999985814,0.08747699996456504,1.2860809999983758,0.11362760001793504,0.19266419997438788,0.3062917999923229,0.0084046998526901,0.0024850996560417116,0.010889799508731812,1.692940599983558,0.0,0.0,0.0,1.7151444000191987,39.25556100002723,,,0.5832592803383149,574.0,252.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 252 cluster; pemisahan cluster sangat baik.
kruskal_only,1000,1000,937,11174,252,469,37.54041660000803,0.016700000036507845,1.201816199987661,1.218516200024169,0.09667659999104217,1.105139599996619,0.10363920003874227,0.19224809965817258,0.29588729969691485,0.00798180012498051,0.0024709997815079987,0.010452799906488508,1.5104141000192612,0.5306378999957815,0.18343720003031194,0.581746700045187,2.8229359001270495,40.36335250013508,0.32108414494896226,0.7723661871348696,0.42912853106103055,605.0,137.0,23.850586979722518,0.02548139634585739,1.0,4.0,9.0,0.008528784648187633,0.0096051227321238,0.04152577244471063,0.022167506691767376,0.034099423234580775,0.004008057510705561,,0.0,,0.6214099263389482,0.7540971387471227,Terbentuk sekitar 469 cluster; struktur komunitas kuat; pemisahan cluster cukup jelas; isolasi cluster lemah.
kruskal_only,1000,1000,937,11174,252,469,37.54041660000803,0.03354340000078082,1.6993537999805994,1.7328971999813803,0.10201999999117106,1.5973337999894284,0.16989710001507774,0.20132519927574322,0.37122229929082096,0.008549799851607531,0.002415399590972811,0.010965199442580342,2.0867507999646477,0.4778980000410229,0.27467649994650856,0.7757764999987558,3.6486451999517158,41.189061799959745,0.32108414494896226,0.7723661871348696,0.42912853106103055,605.0,137.0,23.850586979722518,0.02548139634585739,1.0,4.0,9.0,0.008528784648187633,0.0096051227321238,0.04152577244471063,0.022167506691767376,0.034099423234580775,0.004008057510705561,,0.0,,0.6214099263389482,0.7540971387471227,Terbentuk sekitar 469 cluster; struktur komunitas kuat; pemisahan cluster cukup jelas; isolasi cluster lemah.
